link,pdf_link,title,doi
https://www.sciencedirect.com/science/article/pii/S266729522400014X,https://www.sciencedirect.com/science/article/pii/S266729522400014X/pdfft?md5=1984f6886539e5ada13eeb8c49a9ef8b&pid=1-s2.0-S266729522400014X-main.pdf,"A survey on large language model (LLM) security and privacy: The Good, The Bad, and The Ugly",https://doi.org/10.1016/j.hcc.2024.100211
https://www.sciencedirect.com/science/article/pii/S0950584925001363,https://www.sciencedirect.com/science/article/pii/S0950584925001363/pdfft?md5=5b23191de6a5a380167a7214a521afce&pid=1-s2.0-S0950584925001363-main.pdf,A survey of coverage-guided greybox fuzzing with deep neural models,https://doi.org/10.1016/j.infsof.2025.107797
https://www.sciencedirect.com/science/article/pii/S2096579624000639,https://www.sciencedirect.com/science/article/pii/S2096579624000639/pdfft?md5=a03f734664dd2f949855d22d9fe2d5b9&pid=1-s2.0-S2096579624000639-main.pdf,InputJump: Augmented reality-facilitated cross-device input fusion based on spatial and semantic information,https://doi.org/10.1016/j.vrih.2024.10.001
https://www.sciencedirect.com/science/article/pii/S0167404824004565,,SecureQwen: Leveraging LLMs for vulnerability detection in python codebases,https://doi.org/10.1016/j.cose.2024.104151
https://www.sciencedirect.com/science/article/pii/S2667345225000082,https://www.sciencedirect.com/science/article/pii/S2667345225000082/pdfft?md5=da8ff6376b63e59da75af5d1ff5d2818&pid=1-s2.0-S2667345225000082-main.pdf,Generative AI in cybersecurity: A comprehensive review of LLM applications and vulnerabilities,https://doi.org/10.1016/j.iotcps.2025.01.001
https://www.sciencedirect.com/science/article/pii/S1383762124001309,,Transformers in source code generation: A comprehensive survey,https://doi.org/10.1016/j.sysarc.2024.103193
https://www.sciencedirect.com/science/article/pii/S0950584923001155,,RoseMatcher: Identifying the impact of user reviews on app updates,https://doi.org/10.1016/j.infsof.2023.107261
https://www.sciencedirect.com/science/article/pii/S0164121224000542,https://www.sciencedirect.com/science/article/pii/S0164121224000542/pdfft?md5=1b4768b9e92dc40fd047c37d6f3db0be&pid=1-s2.0-S0164121224000542-main.pdf,A/B testing: A systematic literature review,https://doi.org/10.1016/j.jss.2024.112011
